発話者2,応答者2,対話行為,対話行為2,感情
いつ？,いつって、古い話じゃん昔だよ。すごくない、あんた、運転が。,質問(YesNo),応答(平叙),驚き
私の運転する車乗るときは踏んでた？,踏んでなかったけどさあ。男だとさあ、何かとばしたがるじゃん。信号がすぐ前赤なのにさあ、そんなつけてもしょうがないって。,質問(YesNo),応答(平叙),驚き
あんたのケーブル私が持っとるんだけど。,もうあげるわ、それ。もう一生やらん自信がある、ゲームボーイ。まあ、でも、あんた持っててもいらんか。,質問(YesNo),自己開示,驚き
板門店っていうの？,ハンモンチャウ。わからんけどね。,質問(YesNo),応答(平叙),驚き
あたしもさあ、あまりにも韓国のこと知らないと思ってさ、前、民族のさ、レポート書かなきゃいけないとか言ってたじゃん。それでさ、ちょっとその韓国でどういう歴史教育がされてるか調べたの。,やっちゃいましたか。,質問(YesNo),質問(YesNo),驚き
うちの弟は、愛知と高知と北海道受けてるんだ。多分、愛知と高知だめで、北海道１次受かってるんだと思う。,２次待ち？,質問(YesNo),質問(YesNo),驚き
左。うん、何に？ああ、飲みにいったの、,ここ？,質問(YesNo),質問(YesNo),驚き
あっ、そうですか。,先生も関西の方ですか。,質問(YesNo),質問(YesNo),驚き
関西出身なんですってね。,関西弁でしゃべった方がいいですか。,質問(YesNo),質問(YesNo),驚き
、実はわたし、今でもＲに家族が住んでて、毎週Ｓから来てるんです。,へえー。通ってらっしゃるんですか。,質問(YesNo),あいづち,驚き
私がフランスにいる時に大学に通われてたんですね、ちょうど。,それは大学院で行かれたんですか。,質問(YesNo),質問(YesNo),驚き
８チャンネルって何だっけ、フジテレビ。,フジテレビって一番芸能好きなんじゃないの？,質問(YesNo),質問(YesNo),驚き
ＮＨＫが、１週間のニュースをまとめてやりますとかってこの間、コマーシャル出てたわよ、ＮＨＫのコマーシャルで。,へー。あ、ラジオ全然かけない？,質問(YesNo),あいづち,驚き
わたしに対応してくれた子すっ飛んでる子だとわたしは思ってたのね。,うん、もう１回生協使ってみれば？あれは大変だけれど、ポーランドに行ったとき、ビザの申請。,質問(YesNo),質問(YesNo),驚き
わたし、この間軽井沢行ったのね。スキーなんてやってたかな。,ふーん、あそこって雪降るの？,質問(YesNo),質問(YesNo),驚き
スコットランドの人たちって、今でもね、羊のお肉が食べられないじゃない。,お肉はだいじょうぶじゃないの？,質問(YesNo),質問(YesNo),驚き
冷蔵庫に入れます。かびちゃうじゃない、こんなのすぐ。これは何だか、くら、このカルってのがね、どうも、隠語的なあれがあるらしくて。これはフランス語のわかる人じゃなきゃ、あげ、あげられないとか何とかって言われたんだけど、わたしわかってないんだけどね。,カルっていうのが、カルチャーのカルじゃないの？,質問(YesNo),質問(YesNo),驚き
お茶入れる所のあみに入ってるんだと思う。,あー、ちゃんとすぐお茶が出るように、葉っぱだってちょっと時間待ってないといけないからじゃないの？,質問(YesNo),質問(YesNo),驚き
出てこない。それほど大きくはないの。ただ、あの、土びんのあれよりもちっちゃいらしい。,ふーん、なるほど、じゃ、これ、あけていい？,質問(YesNo),質問(YesNo),驚き
あそこの真ん中にこういう、あのー、何ていうかしら、花びら型があるじゃない。足のところの空間、あれがちょっとこっち向いてるの。,ふーん、いいんじゃない、少しぐらい。ずれてる方がいいんじゃないの？,質問(YesNo),自己開示,驚き
アメリカって前はさ、なんか言語教育機関あったのよね。どっか、赤坂のあたりに、アメリカ文化センターっていうの。,あ、それは、英語を教えてたの？,質問(YesNo),質問(YesNo),驚き
そのときにどうして国出るのにチェックするのかなと思ってびっくりしたけども。,うーん、反戦運動しないとか？,質問(YesNo),質問(YesNo),驚き
戦争に反対だからって言う子はいっぱいいたわよ。わたしのクラスの学生だってオープンにして違う国に行っちゃったもん、すごい頭いい子が。,うん、でも、アメリカの側からすれば逃げたわけでしょう？,質問(YesNo),質問(YesNo),驚き
まさかさ、日本から来る若いのがそんな転々とすると思わなかったんじゃない？ずいぶん言われたもん、あとで。,だれに？Ｙに？,質問(YesNo),質問(What),驚き
ずーっとバスのってボストンまで行けたのよ。,行けたのか。,質問(YesNo),質問(YesNo),驚き
あ、じゃまされ、あのー、いたずらされたんじゃない？,え、でも真ん中に止まってるわよ、その駐車場の。なんか、まだある？,質問(YesNo),自己開示,驚き
対話形式は質問と答えってよりも２人多くて、司会者もいて、だから多くて３人でしょう。それと、片っぽの高校生の方は、５、６人じゃない。そうするとね。,リーダーいないの、５、６、５、６人で。,質問(YesNo),質問(YesNo),驚き
大学と、自分のうちのなんて、ん、３ＸＸＸはあんまりまちがえないんだけど、一番まちがえんじゃない？　３ＸＸＸだとか、ＸＸだったか。,それどっちの、大学？うちの？,質問(YesNo),質問(YesNo),驚き
最近ね、東京の市外局番って５か３なのよ。,へー、マイライン登録ってした？,質問(YesNo),質問(YesNo),驚き
わたしが外に出てるときさ、上かすごい振動が来ると、わたし、下からわめくんだけどさ。,あ、上の人なの？,質問(YesNo),質問(YesNo),驚き
でも、横よりも、下があれじゃない？うちだってここ、,下？,質問(YesNo),質問(YesNo),驚き
こたつぶとん？違うよ。,下がこたつ敷きとかじゃないの？,質問(YesNo),質問(YesNo),驚き
めがねかけてる人？,かけてなかったっけ、わかんないけど。,質問(YesNo),質問(YesNo),驚き
じゃ、だいじょうぶ、ピンクだよ。,私には紫に見えるの。何？ツタヤ？,質問(YesNo),自己開示,驚き
