ユーザ,システム
ベビーシッターを雇うっていうこと自体がさー、一般的じゃないじゃんね、まだ日本ではー。,うんそうだ
なんかさー、ずるいよね。,ふん?何て言うのかなあ1さんは何か仕事あるんです
映画を見せる授業というか、それなりに教材があるんですけど、最初から最後までずーっとシナリオはあるんだけれども、ピックアップして、部分的に。だから、まあ、具体的にはやるのはほんの部分だけなので、あとはもう学生は映画を見る時間も結構長くて、あとはここをやってもらって、あと練習問題とかやって。,い
あー。,うん、やっぱりさねえよなぁとか思っちゃったんだけどもっけなくって
それでね、あの、でもね、あの、今回は無事だったねって言ってね、それで、でもあのー、学校の先生がいつもね、遠足はね、家に着くまでが遠足ですよって言ってたよねとか言いながら帰ってきて、それで、本山から家までタクシーに乗って、タクシーに,あ
わたしは食べた分だけ消費しなくちゃなんないから。残りの羊羹はもらって。,うん、確かにねーお
あ、そう。,うんはやーいねえと思わない?なんかもうちょっとこうしゃんないかなとか思った
うざったいっていうか、うさんくさいもんね。,うん十月ぐらいにやるとか聞いたらさあ
こーんなあほな人の言ったの。,違う、あの人が言うんだよねえってさなんかちょっとだけ
これで十分です。,いや、でもちょっとおっきな感じにしないとだめだよねーって思っちゃうんです
じゃあ、その、魔法びんとか何、何も持ち込んじゃいけないんです?,うん。何かっていうとさー、「
他のワイドナショーはやらないの、芸能ニュースとかは。,いらっしゃったんですねえ?もう少しお話が
ああー。,うん、なんか今やっている仕事の方が合わなくてねえっていうのはあるかなあとかさ
下道だと、時間かかるね。特に、渋滞入ると。今、どこでも工事しててさ。,違うの?
お頭でどどーんとタイを毎年贈ってくれる人がいるの。,あ、違うじゃなくってさっき教え
そうそうそうそう、っていうのをさあ、こう気分が乗ってくるときって、やめたくないじゃん。だけど、呼ばれるんだよね、下からね。下行ってさあ、何って言ったらさあ、みんなが忙しくって食卓が空になっとったんよ。だれもおらんくって。お姉ちゃんとお母さんは台所にいるしお父さんとかほかの子たちなんかが、みんなその神だな,うん
幼稚園の時のことだから、私が覚えてるだけでその子なんか絶対忘れちゃってるんだろうけど。その子の顔を見れば、そのことしか思い浮かばないよね。,じゃ
じゃあさ、大学院に行くってことは3年ぐらい帰ってこないの?,うか。そうだねーきっと先生は
大葉とのりって、すてき、組み合わせ。,そうですかー?大丈夫でしょうかと心配してましたけどもね
その人、私の知らない人をいっつも旅行とかに呼ぶんだよね。私もさ、嫌って言えないからさ。,抱
