ユーザ,システム
あの、極楽、極楽にある。,応答なし
Bちゃんってさー、節約家じゃん。すごい。,そうだねえ
ベビーシッター引き受けたら、人様の面倒見てる場合じゃないって親に怒られてさー。,応答なし
全然違うじゃん。,応答なし
うん。,応答なし
60代が一番よかったって思うようになるにはー、一生懸命60歳までを生きないと。,で
うん。で僕より先に治っていった皆さん。だからぜ扁桃腺炎まできてへん、ほかは。子供らは。,応答なし
就活浪人って手もあるじゃんね,応答なし
ああ。C2かー。,うん、そうですねえちゃんに
そう?,うん。お菓子屋さんなんかあるわけ
外郎売り?,応答なし
あなたの出身地、名古屋なんだ。,応答なし
桜蔭、東大進学、毎年ベストテンに入っているぐらいなのに、全然受験勉強しないんだって、学校自体は。,応答なし
あっ。難しいですー。,で、あのさあねえ先生っていうの
ね、au安いよねー。,えっ?それ携帯
うん、うん。,応答なし
えっ、うちあるのかな、そういうの?聞いたことある?N大学。,応答なし
あ、そうなの?,えーとね。どうなんだろう
何?,応答なし
全然知らないんだけどさ、買ったらさ、なんかさー、,あのとき
お父さん、海外勤務になったら、お母さんもついていくの?,応答なし
たぶんそれ、結構難しいんじゃないかなあ。,うんそうだよねーすごい
だって今週中にや、この土日だよねー。嫌だわー。,で
初めて初めてーとか言って。おかまってどんな気分?とか、言って、めちゃ盛り上がった。,応答なし
風呂敷。,そっか、これ使ってんの?
お元気ですかって。おばあさんに年賀状だしなよ。,ほんとね
うん、ツナ?,応答なし
家にお友達が来るから、ケーキ頼んでいいかなーとか言って。,応答なし
一緒に行った旅行はかなり楽しかった。,え、何で?あ
ふーん。じゃ、水着持ってない、くても、そこに行ったら、お風呂には入れるわけね。,応答なし
言ってよ、ほんとにー。ほんとに言ってよ。,応答なし
松たか子のお父さんだれだっけか。,応答なし
うーん、そうだよね。,あそこへ行けると思うんだけどさ
うん。いいなー、カナダ。行きたーい。私も連れてってよ。,応答なし
あー、そっかー、逆にね、なんかあったときね。そうか。,応答なし
何しに。,応答なし
うち、そういうふうにもならない。勝手にしなさいいうふうにはならないもん、うち。そうなんだ。,応答なし
。USEの方が、ま、大人っぽい見かけだな。な。,応答なし
世界史の授業っていうのは中国史だけ。でもほら、やっぱ頭のいい人とか、勉強、マインドのある子がいるから。結構その世界とのつながりとか日本のつながりこう学んじゃうのね。中国史からちょっと。国語の先生がまるで一般教養の先生と言ったらいいぐらい、漫談ばっかりだったらしいのよ。もうそんなこんなでね、だから高校2年から、ものすごい勉強。そういうことがあったから。孟子とか荘子と,応答なし
いっぱいいろんなところから内定もらっているのに。どうして市役所に就職したの。,応答なし
食べたばかりにしては手が冷たいね。,で、お昼に作ったのを
手作りのカバンって何で作ったの。,応答なし
うん。,応答なし
だけど広辞苑とは違うわけ?,応答なし
H大学とかも、教育実習があるけど、学校のクラスを1クラスとかでやってるんだって。それを。,応答なし
何かさー、前、サークルいたときに、なんだろう、ネズミみたいなやつあんじゃん、フォレット、違う、なんだっけ?ネズミのようなふわふわのイタチみたいなやつ。,応答なし
うんー。てつとかさー。本も読まないとかいう人とかね。,応答なし
うん、ん、ん、ん、ん。,応答なし
つるつるするやろ。,え、何?じゃあーって感じでさ
うーん、わかる、わかる。うーん。,応答なし
英語は強いよとか思って。,応答なし
うん、そういうときって私、なんか家族とかにあげるとか言う、、そうそう、うん。,応答なし
は?,うん。なんかちょっと、そのーもやっぱりねえし
便利さと俗化はほとんど免れないことでね。ああそうか、やっぱり八ヶ岳の方面になんのね。静けさを求めるには。,応答なし
私が子供の頃は、全くお金をかけなくても遊ぶ。,うん?ま
みんなで集まって。ブイヤベース作って、ケーキとかもあるし。,応答なし
だから。そっか。なんか塾ぐらいだとまだねー、割り切れるでしょう。塾って、別に技術の問題だから、まあ、ポイントさえ押さえて。,応答なし
あなた、フラン。,うん?何か今の学校ってさ
だから僕も一瞬そう思うたんやけど、住所ってはっきり書いてあるからなー。,応答なし
そうだよー。き、あの、月々がね。,応答なし
なんか、私ね、これから、どっか行こうかと思ってんのー、うん。なんか、行ってみようかと思っちゃった。,でも
うん、インターンをして。,応答なし
ふーん。,うん、おもしろいよねえなあと思ったの
いない。,うん、まあそうなんやわーって感じだけどねえ
留学生の人経済が専門なんだ。,うん、それはわかるーけどさあ日本
なんか慣れた、,ふーん。何が欲しい?
そうね。だから、そのドクターで今、教えている子も、わりとそういう気持ちわかるって言って、その日本側の気持ち。だけど、やっぱりそれを2年、3年の人とかに、2年、3年しか来てない人とかに言うと、わかってもらえないし、反感買うだけやし。,応答なし
暑いから無理?えっ、それはない?,応答なし
だって包丁。,応答なし
旅行は3人くらいがちょうどいいよね。,応答なし
お店開いてから何年たつ?,応答なし
そうだねー。また結構こう漢方の、お医者さんていうのもー、結構なお金がかかるでしょう。,応答なし
今、定員何名ですか、D大のその言文は?,応答なし
あーあ、あれか。,そうだなんだもんねえみたいにさ
60ね6年だと思う。それで、まず、大きな大学が日本からそいで、そして来たのが、若い、ちっちゃな女の子だったっていうんで、もっとびっくりしたんだってさ。それでみんなが呼んでくれたの。それでもう1つは、何でわたしが呼ばれたのかっていうもう1つの理由は、もう、かの、彼らは、あのころまだほら日系人の、その、戦争中のことっていうのは、あんまり公,応答なし
うん、わかる、わかる。,応答なし
あっ、しちゃったの。もうそんな年?,応答なし
そうなんよ。で、そう、うちね、お歳暮だけじゃなくって野菜とかもらうのね。すごいのね。農家の人っていっぱい持ってくるじゃん。,応答なし
でもどうなるか、やっぱりわからないから、いずれにしても、もし行くことがあったとしても、すぐになかとか日常的にやっていけるようなぐらいのレベルにはしておかないときついかなー。急に行っても、何もできなくってっていうのは、こないだで懲りたから。,応答なし
おもしろいね。,ほんとだー2さん、すごいよなあと思って
の、アウトレット。,応答なし
それで実家からCへ行ってらしたんですか。,応答なし
あー。浅く広くっていう感じだから。,応答なし
将来の話題って重たいもん。だから考えると疲れる。,応答なし
幼稚園の時のことだから、私が覚えてるだけでその子なんか絶対忘れちゃってるんだろうけど。その子の顔を見れば、そのことしか思い浮かばないよね。,応答なし
目がすっごい大きい。,なん、これ?あれ
えっと映画のテキスト、映画シナリオ使ったものとかを部分的に翻訳させたりしますね。,応答なし
な、いくらで何時間ぐらい。,応答なし
なんか貧血って別に自分にとっては何の症状もないけど、その血液がちょっと少ないっていうデータがあ、あの、調べて、その検診で。ほんでけつえ、その増血剤みたいな薬を、うん、飲んで。そういうときにはレバーとか、ひじきとか。,応答なし
うーうん。て言うか、短いーかったら、置いていった方が、いいような気もするけど、だけど2泊3日以上とかになると、やっぱ預かる人も大変かなと思うし。,応答なし
そういう意味ではそうやね。ちゃんと、守るところは、守る仲間というか、は、守ってて。,応答なし
あー、だから、それじゃ、もうオールモスね。,応答なし
本読んでると、語彙がたくさんあるんだよ。いろんな経験をしてるっていうのがなきゃあんまり俳句は書けないよね。いろんなもの見たりとかね。,そう
いつ?,応答なし
うんうん、んー。受験を考えると、これを取っといた方がいいとかね。,応答なし
さすが虎屋の羊羹だね。むっくりしてて栗もおいしくて。うん。これ冷蔵庫入れておかないと。これっくらいの甘さだと悪くなるね。,応答なし
アメリカ、プラクティカルな国だからね。やっぱり自分の自国のために。なかなかね。,応答なし
車で出かけても駐車がするとこないしねー。,あ、そうなんだってば
そこへ来て、その後ろが、今タマネギが植わってる。タマネギは今、11月に植えて、来年の3月ごろかな、取るのは。,そう
羊羹の残りをあなたにもあげる。,応答なし
何とかっていう、何とかっていうバンドのボーカルだったんだよ。,そうだねえー
うん。今単身赴任で行っててね。たぶん、あと、ま、2〜3年とかいるんだろうけど、ぜひ行ってみたい。,応答なし
ねー。,そうだな、それでおまえは何かをやるときの
あー、行きました、行きました。,へえっ?
ミラノの空港だって、ほんとにお粗末なローカル空港よね。ミラノなんて、かなり大きい市なんだけど。,応答なし
これやったらわかるやろ。,うん?これでいい
何の学会?ジャーナリズム学会?,応答なし
あ、ちょっと最近見てきたんですけども。,応答なし
食べすぎやろ。,応答なし
生きてるよ。,ほんとに?お父さんは
でもいい先生、まあまあ、まあいい先生だったんだよねー。なんか、うん、思えばかなり影響も受けただろうし、それぞれいるんだよね。なんか。小学校で1人、中学校で1人、高校で1人。,応答なし
これ、ねーいいよねー。私はこういう顔好きだよ。美人だというわけじゃないけど。,そう
えー、でも大学でしょ、今?,応答なし
あー、休日出勤するとなあ。,いや別にねえちゃんと
違うの来るかもよ。,応答なし
私もすき焼きはあんまり好きじゃない。生卵とか。,応答なし
うんうん。,応答なし
最近コーヒー飲むんだよね。,そうだよー、わかるけどさあちゃんなん
そう、うん、知り合いなんだけど、そこの、そこはね、高校の先生たちが借りてるのよね。高校の先生とそれからあと、その卒業生たちが。,応答なし
大工で出張にきてて、その時に亡くなったんだけど、中卒で仕事している子なんだけどねー、あっけないなーと思って。,応答なし
車のデザインってー、別にどこも似たり寄ったりじゃんね。,応答なし
うーん?,応答なし
そうそうそうそう。,ねえ、なんかあのーさあ、「マトリック
年齢が分かんない。65かもしれない、ちょっと待って。,応答なし
うん、うん、うん。,応答なし
ぜ、身な、身の回りのもんだけ持ってくるっていうんだよ、何持ってくるんだろうと思う。,応答なし
F130ちゃん?,応答なし
楽だけどね、確かに。Kさんとなんて、1対1だからさ。この間将棋さしてたの、で。そしたら次のクラスの1年生の子が入ってきて、授業ですかとか言って聞いてくるから。,応答なし
足ながー。,うん、そうだねえ?まあでもおうち
変な感じだなあ。え、何これ、これが勉強になるの?や、そりゃ音を。意味ねー。,応答なし
危険だよ。食べちゃうよ。,何にしよう、これ
きついよー。,そりゃ、それもわかるしねえなあなんて
稼ぐようになったし、バス乗ろうと思ってバス乗ってたら、なんとなく、今度は反対に体力が、,応答なし
そう?,応答なし
牛乳は飲まなかったかもしれない、8か月ぐらいから。そのアレルギーが出るかもしれないとか言って。,ミルク
こないだで、びびったもん、だって。,応答なし
うん、思うよ。,そうだよねーとか言ってさあしゃべるとなん
半年違う?,応答なし
お飲み物はー、うーん、紅茶にしょっかな。,応答なし
そうねー。最近でもほんと、外食多くてさー、お金のなくなり方が結構激しくて、だめでー。,応答なし
何ていうの、1年に1000キロしか走らない、乗ってますと言えないような。,応答なし
検定落ちるとやっぱりね。次の一歩出にくいよね。,応答なし
うん。また来年。,応答なし
もう旅行熱冷めた?,応答なし
ん?,なんか、こうねえや。でもおもしろいのは
