ID,A,B,感情,対話行為
1_1,寝ているときに首がもぞもぞしたので、起きて見てみたらムカデがいたの！,きゃーっ！それはびっくりだね。,おどろく,応答(平叙)
1_33,そういえば聞いた？あの子プロポーズされたらしいよ。,ええっ、そんな気全然なかったよね。,おどろく,自己開示
1_65,昨日、私の誕生日だったんです。娘がケーキを買ってきてくれました。,おめでとうございます。どんなケーキだったんですか。,おどろく,自己開示
1_97,先月の私の誕生日にさ、営業部のみんながケーキ買って祝ってくれたの！,へぇ！　いい職場だね。,おどろく,応答(平叙)
1_129,ベランダにセミが落ちてたんだよね、お腹を上にしてるから死んでると思ったんだけど。,そんな、季節だね。,おどろく,自己開示
1_161,先日、友人に誕生日のお祝いをしてもらいました。,それはおめでとう！良かったですね。,おどろく,自己開示
1_193,こんにちは、久しぶりですね。背が伸びましたね。,本当に久しぶり、10年ぶりくらいですね。この1年で5センチ伸びたんです。,おどろく,自己開示
1_225,この間近所を散歩していたら急に知らない人に話かけられて驚きました。,なんで話かけられたんですか？,おどろく,質問(What)
1_257,ハロウィンの時に仕事から帰ったら、ものすごく驚いたことがあります。,最近は仮装も派手で面白いですよね。,おどろく,自己開示
1_289,近くの駅で高校の同級生と再会して、驚いたよ。,へえ。いつ以来の再会なんですか？,おどろく,あいづち
1_321,一人で歩いていたら急に後ろから友達に声をかけられてびっくりしました。,そうですか。偶然会ったのですね。,おどろく,あいづち
1_353,新しく入社した新入社員が、PCの電源の入れ方知らなくて驚いてしまいました。,へー、スマホ世代だからPCは使わないんですかね？,おどろく,質問(YesNo)
1_385,前友達に久しぶりに会ったら、結婚していたんです！,それはおめでたいですね！,おどろく,質問(YesNo)
1_417,実はこの前、私のクラスに転校生が来たんだよ。,へー、どんな子が来たの？,おどろく,質問(What)
1_449,お風呂場にゴミが落ちてて、心臓が止まりそうなほど、ビビっちゃった。,なんで？ゴミを見たぐらいで心臓止まってたら、身がもたないよ。,おどろく,質問(What)
1_481,今朝、猫のトイレ掃除中に、トイレの中に頭から突っ込みそうになって、焦った。,いやだー、突っ込みたくない！なんで、そんなことになっちゃったの？,おどろく,質問(YesNo)
