ID,A,B,感情
1_1,寝ているときに首がもぞもぞしたので、起きて見てみたらムカデがいたの！,きゃーっ！それはびっくりだね。,おどろく
1_2,妹が先日出産しまして。赤ちゃんに会いに病院に行ってきました。,おめでとうございます。男の子、女の子？,わくわくする
1_3,立っていたら、いきなり膝カックンされた！,あはは。油断しちゃったのね。,怒る
1_4,聞いてください、うちの息子がやりました。,何かしでかしたの？,誇りに思う
1_5,あーがっくり。私の親友が、転校してしまいました。,それは、がっくりだね。,悲しい
1_6,旦那に貧乏ゆすりをやめてほしいと言っているのに、やめないんだよね。,あー、貧乏ゆすり嫌だよね。,いらいらする
1_7,仕事でちょっと遅くなっちゃって。でも家に着いたら娘がご飯を作っておいてくれたんです。,それは助かったね。,感謝する
1_8,暇だから友達何人か誘ったのに、みんなに断られた。,それは残念だったね。,さびしい
1_9,門限を破ってしまった。,あらま。締め出されちゃったの？,怖い
1_10,車同士がぶつかる瞬間を見てしまいました。,まあ。あなたは大丈夫だったの？,恐ろしい
1_11,母親の認知症がだいぶ進んじゃって、施設に入ることになったんだ。,そうなんだ、介護大変だったね。,うしろめたい
1_12,高校野球のドキュメンタリー見たけど、感動して泣いちゃったよ。,どんな内容だったの？,感動する
1_13,さっきトイレから出て行った人、手を洗ってなかったんだけど。,そんな人いるの？汚いね。,嫌悪感を抱く
1_14,今年の誕生日、お父さんから欲しかったゲーム機もらえそう。,ゲーム機買ってくれるって言われたの？,期待する
1_15,明日、資格試験受けに行くんだ。,受かりそうなの？,自信がある
1_16,昨日、旦那と大げんかした。絶対許せない。,どうしたの？何があったの？,激怒する
1_17,今、足の裏見たらほくろがあるのに気付いたんだけど。,足の裏のほくろってガンかもしれないっていうよね。,不安に思う
1_18,明日、旦那が出張先から帰ってくるんだ。,良かったね。だいぶ出張長かったよね。,待ち望む
1_19,この年になって、遅ればせながらピアノを習い始めました！,すてき！レッスンはどんな感じ？,楽しい
1_20,今、ラジオで高校時代によく聴いてた曲が流れてる。あなたにCD借りたやつ。,あの曲か。懐かしいな。,懐かしい
1_21,この間ずっと行きたかったラーメン屋さんに行ったんだけど、臨時休業で入れなかった。,それは残念だったね。人気な店なの？,がっかりする
1_22,明日は大学で成績が決まるプレゼンがあるんだ。,自信はある？,心構えする
